title,price,price_min,price_max,location,description,brand,model,year,mileage,condition,category,engine_capacity,origin,warranty,weight,href,years_used
CC Vision Thể Thao 2023 Đen+bộ đèn Demi audi A7,37000000.0,28000000.0,32860000.0,"Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","Chính chủ bán Vision phiên bản Thể Thao 2023 Đen Xe mua chính hãng tháng 10/2023, bảo dưỡng đầy đủ, xe gia đình đi giữ gìn. Xe đã độ lên đèn Demi led audi A7 và Đèn hậu led audi A7 (giá thị trường 5tr) (còn nguyên đèn mới zin theo xe) Liên hệ chính chủ 09xau xau 5 7 năm 3 sáu 7",Honda,Vision,2023.0,12000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125168772.htm,2.0
Vespa Sprint 2019 -125- Đen Đỏ Sport -CHÍNH CHỦ,45000000.0,43100000.0,50600000.0,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","XE CÁ NHÂN BÁN - XE DO EM ĐỨNG TÊN CHÍNH CHỦ. Chi Tiết hình ảnh xe đã có đủ. Cần thì liên hệ em. Sản phẩm theo xe zin còn ( Kính, Bao tay, cảng sau, Chìa khóa còn đủ ) CÓ FIX THÊM CHO ANH CHỊ VỀ SƠN DẬM LẠI. Xem xe chi tiết Quận 1. liên hệ trao đổi qua GIÀLÔ: Không 933940 bốn ba hai.",Piaggio,Vespa,2019.0,60000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125127815.htm,6.0
Xe tay ga Yamaha Latte 125 – Đăng ký 2021,23000000.0,17020000.0,19980000.0,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","🛵 Thông tin xe: Dòng xe tay ga cao cấp Yamaha Latte 125, máy mạnh, tiết kiệm xăng. Màu đen nhám phối yên nâu. Xe thuộc phiên bản cao cấp có hệ thống Stop & Start System, giúp tiết kiệm nhiên liệu và giảm khí thải. Odo hiện tại hơn 24.000 km – bảo dưỡng đều, máy móc vẫn rất ổn định. Đăng ký lần đầu: tháng 3/2021 Máy zin, đề nhạy, vận hành êm Cốp xe rộng, tiện để nón, túi xách Bánh còn tốt, phanh an toàn, đèn đóm đầy đủ 📍 Quận 1, TP.HCM, xem xe trực tiếp tại nhà theo hẹn 💰 Giá bán: 23 triệu",Yamaha,Latte,2021.0,24000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125108206.htm,4.0
Xe hoc sinh di hoc nay có bằng lái muốn bán lại,7500000.0,7730000.0,9080000.0,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh",Xe cup 50cc không cần bằng lái chay im không hao xăng đề 1 cái chạy,SYM,Elegant,2018.0,25000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125104958.htm,7.0
xe Air Blade 2013,16000000.0,13830000.0,16239999.999999998,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Xe Air Blade 2013, BST, số km: 80.000, xe mới fix, giá cả thương lượng thêm",Honda,Air Blade,2013.0,80000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125063854.htm,12.0
Bán Xe Wave HQ up dàn áo leng keng,7300000.0,10080000.0,11830000.0,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","Cục máy làm chạy nhẹ xe dàn áo còn keng bstp , bao tranh chấp , gtdd 09c giá 7tr3 ( fix xăng cộ ae xem xe) Cô dì chú bán ae ưng ý thì kb zalo eml",Honda,Wave,2003.0,2,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125056634.htm,22.0
cần bán xe để đối xe nên để giá yêu thương,7500000.0,6970000.0,8189999.999999999,"Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",Xe chính chủ xe chạy còn ngon máy mạnh bị bể bửng trước LH:***,Yamaha,Sirius,2015.0,35000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125045250.htm,10.0
Xe honda Lead 2020 BSTP bản giới hạn đèn Led,33000000.0,27450000.0,32220000.0,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","Mình đi xuất cảnh định cư nên cần bán chiếc xe honda LEAD 2020 BSTP xe nhà ít đi.bảo dưỡng đầy đủ nên xe còn rất mới.zin từ trong ra ngoài.nước sơn zin ko dặm tút.máy móc zin êm.chạy rất mạnh và nhẹ ga.xe này mua về là đi thôi.ko phải làm gì hết.xe sài smakey.còn đủ 2 kính.xe màu đỏ đô.tới xem xe phát hiện ra chổ nào ko zin hoặc dậm tút tặng luôn xe.mình là nguoi dùng bán.chứ ko phải cò lái.giấy tờ hợp pháp mua bán ra phòng công chứng,công chứng sang tên luôn.",Honda,Lead,2020.0,20000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125036254.htm,5.0
Bán gấp Kawasaki gpz400 1973,19900000.0,22080000.0,25920000.0,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Xe zin keng, rất đẹp, có giá trị trưng bày và sưu tầm cao, xem xe ở q1 hcm",Kawasaki,Dòng khác,,99000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124982577.htm,10.0
Bán xe Wolf 125cc,14800000.0,13620000.0,15980000.0,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","- Tình trạng đồ zin còn 80%, có độ cafe nhẹ - Máy êm, mạnh, nổ thì thầm - Hệ thống đèn còi xi nhan còn hoạt động tốt - Biển số tp, dễ nhìn - Chia sẽ cho AE cùng đam mê - Xem xe Quận 1 hoặc Tân Bình( buổi tối) Cảm ơn chợ tốt đã duyệt tin.",SYM,Wolf,2016.0,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124945498.htm,9.0
